NAME;X;Y
001Sa;0.00;0.00
002Ba;-398.17;870.15
003Ba;583.58;321.74
004Ba;56.78;-846.80
005Ba;-621.35;-647.31
006Ba;-788.22;242.79
008Ca;1880.68;624.39
009Ca;1678.60;-492.80
012Ca;-1481.73;-1192.74
013Ca;-1791.36;-106.54
014Ca;-1447.28;1896.08
015Ca;-29.42;1713.56
016Da;-349.41;3077.79
017Da;1715.80;2709.78
018Da;2987.65;1766.19
019Da;3001.26;723.29
020Da;2938.95;-1472.04
021Da;1484.28;-2967.42
022Da;-156.14;-3717.44
023Da;-2419.23;-2365.53
024Da;-2395.94;-908.78
026Da;-2705.88;1721.63
027Da;-1624.18;2698.32
028Ea;1352.12;4733.63
029Ea;3545.25;3486.13
030Ea;4903.38;1836.23
031Ea;4855.10;-551.80
033Ea;3076.06;-4068.89
036Ea;-3221.06;-4802.36
037Ea;-5147.02;-2266.63
038Ea;-4678.87;-106.54
039Ea;-4679.65;1968.66
041Ea;-423.13;4955.20
042Fa;-98.38;7498.61
043Fa;3471.63;7021.51
044Fa;5171.44;5175.50
045Fa;6798.67;2832.03
046Fa;7354.71;13.58
047Fa;7181.25;-3042.12
048Fa;4811.53;-5026.05
049Fa;3531.01;-6299.01
050Fa;-276.16;-7165.75
051Fa;-4047.02;-6529.06
053Fa;-6889.93;-2775.14
054Fa;-7321.69;-785.26
055Fa;-6588.56;3514.99
056Fa;-5585.26;4925.92
057Fa;-3871.08;6497.29
059Ga;2562.83;9803.05
060Ga;7213.84;7487.58
061Ga;10599.18;1672.39
062Ga;10628.54;-523.79
064Ga;6305.94;-8721.39
065Ga;3800.93;-9921.76
067Ga;-3504.94;-10203.17
068Ga;-7851.69;-8350.84
069Ga;-10165.60;-5024.78
070Ga;-10576.06;-1284.00
072Ga;-9343.78;5464.56
074Ga;-3299.30;10312.84
075Ha;532.06;15272.37
077Ha;9892.82;11157.11
078Ha;13706.71;5331.28
080Ha;12676.30;-8169.17
081Ha;10305.08;-10875.51
083Ha;2832.83;-14691.78
084Ha;-1975.90;-15075.91
085Ha;-6230.32;-14011.81
087Ha;-13663.54;-6801.99
089Ha;-13985.87;2565.04
090Ha;-12467.12;8495.69
091Ha;-11308.20;11996.29
092Ha;-4896.68;14859.36
093Sa;-15.73;-103.14
095Sa;-238.11;46.69
096Sa;-494.67;100.17
098Sa;32.14;4691.19
099Sa;397.86;4749.34
101Sa;4101.20;4201.78
102Sa;4861.06;3888.94
007Cw;1275.08;1130.77
011Cw;-437.35;-1764.49
025Dw;-3529.62;421.92
032Ew;5473.35;-1417.28
035Ew;-1626.70;-4995.91
040Ew;-2948.74;3908.89
052Fw;-5958.84;-4469.58
058Gw;1060.30;10657.51
063Gw;9176.61;-5418.68
066Gw;1035.63;-11932.40
073Gw;-5865.66;9413.82
076Hw;7515.99;12786.23
079Hw;14848.78;321.74
082Hw;7099.00;-13551.28
086Hw;-9844.15;-12553.38
088Hw;-14823.28;-752.15
094Sw;-50.64;-260.20
097Sw;-309.01;4671.24
100Sw;4719.52;3871.12
